name,price,discountRate,imageUrl,categoryName,link,clickCount
Toshiba 32-inch Class V35 Series LED HD Smart Fire TV,6.24,35,https://m.media-amazon.com/images/I/91XcODg2NuL._AC_SX466_.jpg,homeAppliances_computers,https://www.amazon.com/TCL-32-inch-Class-Smart-Android/dp/B08P4WR6XB/ref=sr_1_2?crid=35POVQP40PS9I&keywords=Toshiba%2B32-inch%2BClass%2BV35%2BSeries%2BLED%2BHD%2BSmart%2BFire%2BTV&qid=1672184656&sprefix=toshiba%2B32-inch%2Bclass%2Bv35%2Bseries%2Bled%2Bhd%2Bsmart%2Bfire%2Btv%2Caps%2C261&sr=8-2&th=1,0
"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard",679.99,19,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81bc8mA3nKL._AC_SX679_.jpg,homeAppliances_computers,https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN?ref_=Oct_DLandingS_D_4e191cf6_60&th=1,0
"Acer Aspire 5 A515-45-R8K1 Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 7 5700U Octa-Core Mobile Processor | AMD Radeon Graphics | 8GB DDR4 | 512GB NVMe SSD | WiFi 6 | Backlit KB | Windows 11 Home",569.99,24,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/7189iXimfWL._AC_SX466_.jpg,homeAppliances_computers,https://www.amazon.com/Acer-A515-45-R8K1-Octa-Core-Processor-Graphics/dp/B09J1L84Q3?ref_=Oct_DLandingS_D_4e191cf6_62,0
"Acer Aspire 5 A515-57G-735F Slim Laptop | 15.6"" Full HD IPS | Intel Core i7-1260P | NVIDIA GeForce RTX 2050 | 16GB DDR4 | 512GB SSD | Wi-Fi 6 | Thunderbolt 4 | Fingerprint Reader | Backlit KB | Win 11",799.99,22,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71Y+KLTabhL._AC_SX679_.jpg,homeAppliances_computers,https://www.amazon.com/Acer-A515-57G-735F-i7-1260P-Thunderbolt-Fingerprint/dp/B09ZVFHPPV?ref_=Oct_DLandingS_D_4e191cf6_70,0
JBL Vibe 200TWS True Wireless Earbuds - Blue,24.95,50%,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51ucIhNrqLL._AC_SX466_.jpg,homeAppliances_computers,https://www.amazon.com/JBL-Vibe-200TWS-Wireless-Earbuds/dp/B097F4Y66T?ref_=Oct_DLandingS_D_81b17207_62&th=1,0
JBL Live 460NC - Wireless On-Ear Noise Cancelling Headphones with Long Battery Life and Voice Assistant Control - Black,64.95,50%,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61Kq-Pz8d-L.__AC_SX300_SY300_QL70_FMwebp_.jpg,homeAppliances_computers,https://www.amazon.com/JBL-Live-460NC-Ear-Cancelling/dp/B08WR6YDKP?ref_=Oct_DLandingS_D_81b17207_66,0
JBL Live 660NC - Wireless Over-Ear Noise Cancelling Headphones with Long Lasting Battery and Voice Assistant - White,99.95,50,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81fceUpU6cL._AC_SX466_.jpg,homeAppliances_computers,https://www.amazon.com/JBL-Live-660NC-Cancelling-Headphones/dp/B091FYLKNB?ref_=Oct_DLandingS_D_81b17207_80,0
JBL Tune 125 - Bluetooth Wireless in-Ear Headphones with 3-Button Mic/Remote and Flat Cable - Black,$19.95 ,50,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41RjXueZ8dL._AC_SX466_.jpg,homeAppliances_computers,https://www.amazon.com/JBL-Tune-125-Ear-Headphones/dp/B08WM1FXSF?ref_=Oct_DLandingS_D_81b17207_89,0
JBL Tune 230NC TWS True Wireless In-Ear Noise Cancelling Headphones - White,49.95,50,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/412vHnJRojL._AC_SY355_.jpg,homeAppliances_computers,https://www.amazon.com/JBL-230NC-Wireless-Cancelling-Headphones/dp/B09FMS2QYD?ref_=Oct_DLandingS_D_81b17207_75,0
"Arzopa 15.6'' 144Hz Portable Gaming Monitor, 1080P FHD Portable Monitor with HDR Laptop Computer Monitor Eye Care External Second Screen for Switch, Xbox, PS5, Laptop, PC, Mac, Raspberry Pi",149.99,35,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71bdWkp5SbL._AC_SX569_.jpg,homeAppliances_computers,https://www.amazon.com/Portable-Monitor-Computer-External-Raspberry/dp/B0B2PN9215?ref=dlx_deals_gd_dcl_img_47_b6347048_dt_sl15_00,0
